constituency,island
Bains Town and Grants Town,New Providence
Bamboo Town,New Providence
Carmichael,New Providence
Centreville,New Providence
Elizabeth,New Providence
Englerston,New Providence
Fort Charlotte,New Providence
Fox Hill,New Providence
Free Town,New Providence
Garden Hills,New Providence
Golden Gates,New Providence
Golden Isles,New Providence
Killarney,New Providence
Marathon,New Providence
Mount Moriah,New Providence
Nassau Village,New Providence
Pinewood,New Providence
St. Barnabas,New Providence
St. James,New Providence
Seabreeze,New Providence
South Beach,New Providence
Southern Shores,New Providence
Tall Pines,New Providence
Yamacraw,New Providence
Central Grand Bahama,Grand Bahama
East Grand Bahama,Grand Bahama
Marco City,Grand Bahama
Pineridge,Grand Bahama
West Grand Bahama,Grand Bahama
Central and South Abaco,Family Islands
North Abaco,Family Islands
Mangrove Cay and South Andros,Family Islands
North Andros,Family Islands
Bimini and the Berry Islands,Family Islands
Rum Cay and San Salvador,Family Islands
Central and South Eleuthera,Family Islands
North Eleuthera,Family Islands
Ragged Island,Family Islands
Long Island,Family Islands
Acklins and Long Cay,Family Islands